id,prices.amountMax,prices.availability,prices.condition,prices.isSale,prices.merchant,brand,dateAdded,primaryCategories,weight,,,,,
AVpf0Nyo1cnluZ0-rzhu,599,In Stock,New,FALSE,bhphotovideo.com,Bose,2015-05-11T12:31:02Z,Electronics,1.18 lb,,,,,
AWOpOCd2YSSHbkXw07ei,224.99,TRUE,new,TRUE,Bestbuy.com,Samsung,2018-05-28T23:46:50Z,Electronics,0.14 ounces,,,,,
AWOpOCd2YSSHbkXw07ei,249.99,TRUE,new,FALSE,Bestbuy.com,Samsung,2018-05-28T23:46:50Z,Electronics,0.14 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,139.99,Yes,New,FALSE,Bestbuy.com,Corsair,2017-07-31T18:06:52Z,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,162.99,Yes,New,FALSE,Bestbuy.com,Corsair,2017-07-31T18:06:52Z,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,189.99,TRUE,new,FALSE,Bestbuy.com,Corsair,2017-07-31T18:06:52Z,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,194.82,In Stock,New,FALSE,Beach Audio Inc,Corsair,2017-07-31T18:06:52Z,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,149.99,Yes,New,FALSE,Bestbuy.com,Corsair,2017-07-31T18:06:52Z,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,147.99,Yes,New,FALSE,Bestbuy.com,Corsair,2017-07-31T18:06:52Z,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,158.95,In Stock,New,FALSE,Alex Magic Electronics,Corsair,2017-07-31T18:06:52Z,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,154.99,Yes,New,FALSE,Bestbuy.com,Corsair,2017-07-31T18:06:52Z,Electronics,3.2 ounces,,,,,
AV2Z1Efc-jtxr-f39lm6,151.99,Yes,New,FALSE,Bestbuy.com,Corsair,2017-07-31T18:06:52Z,Electronics,3.2 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,55.99,Yes,New,FALSE,Bestbuy.com,Outdoor Tech,2015-11-16T06:26:07Z,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,56.99,Yes,New,FALSE,Bestbuy.com,Outdoor Tech,2015-11-16T06:26:07Z,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,65.99,Yes,New,FALSE,Bestbuy.com,Outdoor Tech,2015-11-16T06:26:07Z,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,71.99,Yes,New,FALSE,Bestbuy.com,Outdoor Tech,2015-11-16T06:26:07Z,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,63.99,Yes,New,FALSE,Bestbuy.com,Outdoor Tech,2015-11-16T06:26:07Z,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,59.99,Yes,New,FALSE,Bestbuy.com,Outdoor Tech,2015-11-16T06:26:07Z,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,64.99,Yes,New,FALSE,Bestbuy.com,Outdoor Tech,2015-11-16T06:26:07Z,Electronics,6.7 ounces,,,,,
